text,label
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
I was disconnected during the online proctored session.,exam issue
I was disconnected during the online proctored session.,exam issue
My microphone test keeps failing before exam start.,exam issue
The question navigation lagged severely during my test.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
My microphone test keeps failing before exam start.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
My microphone test keeps failing before exam start.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
I was disconnected during the online proctored session.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The question navigation lagged severely during my test.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam timer did not start correctly on my screen.,exam issue
My microphone test keeps failing before exam start.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
I was disconnected during the online proctored session.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam froze when uploading my ID document.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam timer did not start correctly on my screen.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
I was disconnected during the online proctored session.,exam issue
I was disconnected during the online proctored session.,exam issue
I was disconnected during the online proctored session.,exam issue
My microphone test keeps failing before exam start.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
The question navigation lagged severely during my test.,exam issue
The exam froze when uploading my ID document.,exam issue
My microphone test keeps failing before exam start.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
The exam froze when uploading my ID document.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam timer did not start correctly on my screen.,exam issue
I was disconnected during the online proctored session.,exam issue
The question navigation lagged severely during my test.,exam issue
I was disconnected during the online proctored session.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam timer did not start correctly on my screen.,exam issue
The exam froze when uploading my ID document.,exam issue
